('WTER', '1.3000')
('XBIOW', '2.2400')
('XCUR', '2.3500')
('XELB', '1.8600')
('XSPA', '2.1983')
('YSACW', '1.5000')
('YVR', '2.1335')
('ZCMD', '2.0900')
('ZGYHR', '0.4350')
('ZGYHW', '0.8700')
('ZSAN', '1.1200')
