('CSCW, 0.9800')
('CSLT, 1.8300')
('CSPR, 8.00')
('CTAQW, 1.7900')
('CTG, 6.67')
('CTHR, 2.3800')
('CTIB, 2.4400')
('CTIC, 3.9400')
('CTK, 3.4600')
('CTMX, 8.25')
('CTRM, 0.8436')
('CTXR, 1.3200')
('CTXRW, 0.2699')
('CUBA, 5.81')
('CUEN, 4.0500')
('CUENW, 1.4800')
('CURIW, 5.05')
('CVE, 6.43')
('CVGI, 9.32')
('CVV, 5.55')
('CWBC, 9.25')
('CWBR, 1.9200')
('CX, 6.43')
('CXDC, 1.1400')
('CXDO, 6.66')
('CXE, 5.03')
('CXH, 9.95')
('CXW, 7.29')
('CYAD, 8.12')
('CYAN, 3.7500')
('CYCC, 9.02')
('CYCCP, 9.20')
('CYCN, 4.5200')
('CYH, 9.32')
('CYRN, 1.2800')
('CYTHW, 4.10')
('DAIO, 5.47')
('DAKT, 5.28')
('DARE, 2.3600')
('DBDRW, 1.3300')
('DBVT, 5.91')
('DCF, 8.89')
('DCRBW, 3.00')
('DDF, 9.60')
('DDMXW, 2.4500')
('DEX, 9.68')
('DFFN, 1.3200')
('DFHTW, 3.2700')
('DFPHW, 2.2300')
('DGLY, 2.7100')
('DHC, 4.4600')
('DHF, 3.0000')
('DHT, 5.70')
('DHX, 2.5100')
('DL, 9.63')
('DLNG, 2.8500')
('DLPN, 4.5500')
('DMAC, 9.37')
('DNK, 3.0600')
('DNOW, 9.76')
('DOGZ, 2.1200')
('DRH, 9.01')
('DRIOW, 0.0642')
('DRRX, 2.5300')
('DRTT, 2.4300')
('DS, 2.4400')
('DSACW, 2.1700')
('DSE, 6.35')
('DSKE, 5.65')
('DSKEW, 0.0500')
('DSM, 7.92')
('DSSI, 7.48')
('DSWL, 3.3500')
('DSX, 2.6400')
('DTEA, 5.0200')
('DTSS, 3.6600')
('DUO, 8.81')
('DUOT, 5.51')
('DVAX, 9.73')
('DVD, 2.1400')
('DWSN, 3.0000')
('DXYN, 4.4000')
('DYAI, 6.06')
('DYNT, 1.2900')
('EARS, 3.1000')
('EAST, 1.7811')
('EBON, 6.37')
('EBR, 5.79')
('ECOLW, 4.40')
('ECOR, 2.6700')
('EDAP, 8.64')
('EDD, 6.15')
('EDF, 8.49')
('EDI, 9.35')
('EDN, 3.7000')
('EDRY, 7.78')
('EDSA, 7.00')
('EDTK, 3.6000')
('EEX, 4.8300')
('EFL, 9.29')
('EFOI, 5.05')
('EGY, 2.9700')
('EHT, 9.79')
('EIGI, 9.48')
('ELOX, 3.8300')
('ELSE, 5.91')
('ELTK, 6.00')
('ELVT, 4.4000')
('ELYS, 5.73')
('EMKR, 6.17')
('ENBL, 5.75')
('ENDP, 8.95')
('ENG, 7.25')
('ENIA, 7.65')
('ENIC, 3.8700')
('ENLC, 4.1700')
('ENOB, 3.7500')
('ENTX, 1.7000')
('ENTXW, 0.4000')
('ENVB, 4.3400')
('ENZ, 3.3300')
('EOD, 5.08')
('EOLS, 6.99')
('EPSN, 3.7795')
('EQ, 8.94')
('EQOSW, 2.5200')
('EQS, 1.8802')
('ERESW, 1.6100')
('ERF, 3.7800')
('ERJ, 7.06')
('ERYP, 9.80')
('ESEA, 8.47')
('ESGC, 2.1000')
('ESRT, 9.90')
('ESSCR, 0.4600')
('ESSCW, 0.6380')
('ESTE, 6.09')
('ESXB, 7.64')
('ET, 6.70')
('ETACW, 2.3000')
('ETM, 5.06')
('ETRN, 7.08')
('ETTX, 3.3954')
('ETW, 9.80')
('EUCRW, 1.8000')
('EURN, 8.31')
('EVC, 3.2400')
('EVF, 6.62')
('EVFM, 3.4800')
('EVGN, 8.32')
('EVK, 3.7600')
('EVOK, 3.0500')
('EVOL, 2.6000')
('EXFO, 3.8300')
('EXG, 8.96')
('EXK, 4.9300')
('EXPCW, 3.8800')
('EXPR, 3.2700')
('EXTN, 4.8600')
('EXTR, 9.35')
('EYEG, 7.15')
('EYEN, 6.54')
('EYES, 2.5100')
('EYESW, 0.1500')
('EZGO, 8.66')
('EZPW, 5.20')
('FAMI, 1.3900')
('FARM, 6.70')
('FAT, 8.51')
('FATBW, 2.7500')
('FBIO, 3.9800')
('FBP, 9.87')
('FCACW, 3.0800')
('FCRD, 3.8200')
('FEDU, 1.8500')
('FEI, 6.31')
('FENC, 8.19')
('FENG, 1.4700')
('FGB, 3.5861')
('FGF, 3.8900')
('FI, 3.2400')
('FIIIW, 3.4000')
('FINV, 4.1100')
('FIT, 6.99')
('FIV, 9.24')
('FLDM, 7.16')
('FLL, 6.78')
('FLMN, 3.7400')
('FLMNW, 0.1550')
('FLNG, 8.30')
('FLNT, 7.15')
('FMO, 7.95')
('FNCB, 7.30')
('FNHC, 6.25')
('FORD, 4.2400')
('FPAY, 3.3100')
('FPH, 6.75')
('FPL, 4.7800')
('FRBK, 3.3500')
('FREEW, 1.6700')
('FRO, 6.49')
('FRSX, 9.25')
('FSEA, 8.96')
('FSM, 7.48')
('FSRVW, 1.3500')
('FT, 7.46')
('FTCVW, 2.4999')
('FTEK, 5.39')
('FTFT, 6.12')
('FTIVW, 2.2500')
('FTK, 2.1100')
('FTOCW, 3.8800')
('FUND, 7.70')
('FUSB, 9.16')
('FVE, 8.80')
('FWP, 7.45')
('GAB, 6.43')
('GAIA, 9.82')
('GALT, 2.3600')
('GASS, 2.7700')
('GBNY, 9.74')
('GBS, 8.27')
('GCI, 4.7500')
('GCMGW, 1.6200')
('GCV, 6.61')
('GDL, 8.98')
('GDYNW, 1.61')
('GECC, 3.1900')
('GEG, 2.9600')
('GEL, 6.42')
('GEN, 0.7549')
('GENE, 4.51')
('GEO, 8.68')
('GEOS, 9.05')
('GER, 8.65')
('GERN, 2.0000')
('GFI, 9.14')
('GFN, 8.60')
('GGAL, 8.32')
('GGB, 4.3200')
('GGT, 8.70')
('GHSI, 0.8301')
('GHVIW, 3.9900')
('GIFI, 4.0600')
('GIGM, 3.8000')
('GIM, 5.61')
('GLAD, 9.98')
('GLAQW, 1.7000')
('GLBS, 5.95')
('GLDI, 9.35')
('GLG, 2.5400')
('GLMD, 4.6300')
('GLOG, 4.5000')
('GLOP, 3.4500')
('GLRE, 7.86')
('GLUU, 9.36')
('GLYC, 4.0900')
('GMBL, 8.41')
('GMBLW, 4.65')
('GMLP, 3.4600')
('GNCA, 3.2500')
('GNE, 7.88')
('GNFT, 5.16')
('GNK, 8.06')
('GNLN, 5.65')
('GNOGW, 7.80')
('GNPX, 6.43')
('GNRSW, 0.2400')
('GNSS, 7.90')
('GNT, 5.09')
('GNUS, 1.9600')
('GNW, 3.6100')
('GOEVW, 6.24')
('GOGL, 5.10')
('GOL, 9.35')
('GOVX, 6.25')
('GOVXW, 2.1200')
('GPM, 6.74')
('GPMT, 9.95')
('GPP, 9.83')
('GPRO, 8.53')
('GRCYW, 0.9500')
('GRIL, 2.3500')
('GRIN, 5.10')
('GRNQ, 2.4230')
('GRNVR, 0.6500')
('GRNVW, 0.3500')
('GROW, 6.91')
('GRSVW, 1.3000')
('GSIT, 7.37')
('GSKY, 5.99')
('GSM, 3.4500')
('GSMG, 4.0300')
('GSMGW, 0.0500')
('GSUM, 1.8500')
('GTEC, 7.93')
('GTIM, 3.6400')
('GTT, 5.0100')
('GTYH, 8.28')
('GURE, 4.1200')
('GUT, 8.13')
('GVP, 1.8500')
('GWACW, 1.3500')
('GWGH, 7.33')
('GXGXW, 1.0350')
('HAACW, 3.5200')
('HALL, 4.3300')
('HAPP, 2.1845')
('HBIO, 4.93')
('HBM, 6.07')
('HBP, 4.0000')
('HCAP, 7.99')
('HCARW, 1.3800')
('HCDI, 3.2700')
('HCHC, 3.9700')
('HDSN, 1.5900')
('HECCW, 0.9150')
('HEPA, 2.3700')
('HEXO, 7.95')
('HFEN, 6.05')
('HFFG, 7.98')
('HGBL, 3.2500')
('HGLB, 6.82')
('HGSH, 2.2300')
('HIE, 8.13')
('HIHO, 4.6100')
('HIL, 2.3100')
('HIO, 4.9900')
('HIX, 6.93')
('HJLI, 9.70')
('HJLIW, 0.1300')
('HKIB, 6.40')
('HL, 5.98')
('HLIT, 7.67')
('HLX, 4.7500')
('HMCOW, 2.7400')
('HMHC, 5.74')
('HMY, 4.2700')
('HNNA, 8.65')
('HNRG, 1.8100')
('HOFV, 2.9650')
('HOFVW, 0.9419')
('HOLUW, 5.40')
('HOTH, 2.2900')
('HPKEW, 3.4300')
('HROW, 9.97')
('HRTG, 9.32')
