('MNKD, 5.03')
('MNOV, 6.60')
('MNTX, 6.22')
('MPLN, 8.00')
('MRC, 9.83')
('MRCC, 8.77')
('MRKR, 2.2700')
('MRO, 7.93')
('MTL, 1.9000')
('MUFG, 4.8400')
('MUX, 1.1600')
('MVO, 3.9499')
('NAT, 3.2100')
('NBEV, 3.6900')
('NBRV, 2.9900')
('NCMI, 4.3500')
('NDLS, 8.90')
('NEOS, 0.9345')
('NEPT, 2.3400')
('NERV, 3.4000')
('NEW, 7.29')
('NEX, 3.8500')
('NGL, 2.7200')
('NGS, 9.33')
('NH, 4.6300')
('NHTC, 6.62')
('NINE, 2.9200')
('NL, 4.8200')
('NLY, 8.47')
('NM, 4.8000')
('NMR, 5.67')
('NMRK, 8.05')
('NMTR, 1.8100')
('NNA, 3.6600')
('NNBR, 7.09')
('NOA, 9.23')
('NOK, 4.3300')
('NR, 2.8000')
('NRT, 4.1000')
('NSCO, 8.09')
('NTEC, 5.12')
('NTP, 8.87')
('NTWK, 4.5000')
('NVGS, 9.45')
('NWG, 4.5700')
('NXTD, 1.6300')
('NYMT, 4.0300')
('NYMX, 3.0300')
('OBSV, 3.9000')
('OCSL, 6.01')
('OEG, 8.84')
('OGI, 2.5400')
('OII, 9.85')
('OIS, 6.42')
('OMEX, 7.95')
('OPK, 5.40')
('OPRA, 9.34')
('OPTT, 4.9200')
('ORBC, 8.55')
('ORC, 5.39')
('ORN, 5.90')
('ORTX, 7.74')
('OSG, 2.1600')
('OTIC, 5.57')
('OVID, 3.2470')
('OXSQ, 3.9200')
('PAA, 9.05')
('PAGP, 9.15')
('PAYS, 5.21')
('PBF, 9.55')
('PBI, 9.23')
('PBPB, 5.26')
('PBT, 3.8100')
('PCTI, 8.41')
('PCYG, 7.50')
('PFMT, 1.1900')
('PFSW, 7.46')
('PGEN, 8.16')
('PGRE, 9.08')
('PHAS, 4.3500')
('PHX, 3.1400')
('PICO, 9.05')
('PIRS, 2.8800')
('PLYA, 6.29')
('PNNT, 5.75')
('PRGX, 7.54')
('PROG, 6.01')
('PRQR, 5.07')
('PRTK, 8.05')
('PRTY, 8.01')
('PSEC, 6.83')
('PSO, 9.86')
('PSTI, 6.99')
('PSTX, 9.28')
('PTE, 1.2300')
('PTEN, 6.31')
('PTMN, 2.0100')
('PUMP, 9.41')
('PVL, 1.1800')
('PWFL, 7.98')
('PXLW, 3.4900')
('PZN, 8.92')
('QD, 2.7200')
('QEP, 3.3000')
('QLGN, 4.1400')
('QMCO, 8.11')
('QTNT, 5.24')
('QTT, 3.8100')
('QUAD, 5.60')
('QUIK, 4.2700')
('QUOT, 9.80')
('RAIL, 4.2300')
('RAVE, 1.2500')
('RBBN, 9.07')
('RCMT, 2.9900')
('RDHL, 9.32')
('RDI, 6.26')
('REDU, 6.00')
('REED, 1.0800')
('REFR, 5.3900')
('RELL, 6.07')
('RENN, 7.77')
('REPH, 3.7300')
('RES, 5.01')
('RESN, 7.55')
('RFIL, 6.15')
('RFP, 8.11')
('RGLS, 1.6000')
('RIG, 3.5400')
('RIGL, 4.8000')
('RKDA, 3.2500')
('RLH, 3.4200')
('RMNI, 8.05')
('RMTI, 1.4400')
('RNWK, 3.0250')
('RPAI, 9.64')
('RPT, 9.70')
('RRC, 9.55')
('RRD, 2.4500')
('RVSB, 5.62')
('RWT, 9.44')
('RYAM, 8.73')
('RYB, 3.6399')
('SAN, 3.3500')
('SAND, 6.30')
('SANW, 3.6500')
('SB, 2.1800')
('SBBP, 3.1000')
('SBS, 7.51')
('SCOR, 4.2900')
('SCYX, 9.34')
('SD, 4.8800')
('SEAC, 1.3400')
('SECO, 2.8400')
('SELB, 5.1400')
('SESN, 2.4100')
('SFE, 7.60')
('SFL, 6.84')
('SFT, 8.31')
('SGU, 9.87')
('SID, 5.82')
('SIEB, 5.65')
('SIEN, 5.98')
('SIFY, 2.9800')
('SIGA, 6.83')
('SIRI, 6.14')
('SJT, 3.8000')
('SLCA, 9.49')
('SLDB, 8.00')
('SLNO, 2.7100')
('SMFG, 6.52')
('SMHI, 3.4300')
('SMMT, 9.41')
('SMSI, 7.99')
('SMTX, 5.87')
('SNCR, 4.83')
('SND, 2.0700')
('SNDL, 1.1500')
('SNR, 5.72')
('SNSS, 3.0700')
('SOGO, 8.32')
('SOLO, 8.82')
('SOS, 3.9800')
('SPPI, 3.9700')
('SPRT, 2.4900')
('SRAX, 4.77')
('SRET, 9.20')
('SREV, 1.6900')
('SRGA, 2.9073')
('SRT, 8.78')
('STCN, 1.9300')
('STON, 3.1300')
('SUPV, 1.8600')
('SVRA, 2.0000')
('SVVC, 6.40')
('SWN, 4.1400')
('SXC, 5.73')
('SYBX, 4.2400')
('SYNC, 2.0900')
('SYNL, 8.11')
('TACT, 8.62')
('TALO, 9.35')
('TAST, 6.88')
